id,station,date,prcp,tobs
5109,USC00513117,2016-09-10,0.01,76.0
14626,USC00519281,2016-09-10,0.09,77.0
14627,USC00519281,2016-09-11,0.3,80.0
11869,USC00519523,2016-09-11,0.12,83.0
5110,USC00513117,2016-09-11,0.18,76.0
2383,USC00519397,2016-09-11,0.05,76.0
19220,USC00516128,2016-09-11,0.6,71.0
19221,USC00516128,2016-09-12,1.04,72.0
7346,USC00514830,2016-09-12,,79.0
5111,USC00513117,2016-09-12,0.04,76.0
8836,USC00517948,2016-09-12,,79.0
14628,USC00519281,2016-09-12,0.31,76.0
2384,USC00519397,2016-09-12,0.0,78.0
11870,USC00519523,2016-09-12,0.15,78.0
8837,USC00517948,2016-09-13,,79.0
2385,USC00519397,2016-09-13,0.02,78.0
19222,USC00516128,2016-09-13,1.2,75.0
7347,USC00514830,2016-09-13,0.32,79.0
11871,USC00519523,2016-09-13,0.46,77.0
14629,USC00519281,2016-09-13,0.34,79.0
5112,USC00513117,2016-09-13,0.37,76.0
2386,USC00519397,2016-09-14,1.32,75.0
5113,USC00513117,2016-09-14,0.9,76.0
11872,USC00519523,2016-09-14,1.19,77.0
7348,USC00514830,2016-09-14,1.84,79.0
19223,USC00516128,2016-09-14,6.7,73.0
14630,USC00519281,2016-09-14,2.33,75.0
8838,USC00517948,2016-09-14,,76.0
2387,USC00519397,2016-09-15,0.42,79.0
8839,USC00517948,2016-09-15,,76.0
11873,USC00519523,2016-09-15,0.17,79.0
5114,USC00513117,2016-09-15,0.12,78.0
7349,USC00514830,2016-09-15,0.07,81.0
19224,USC00516128,2016-09-15,3.35,73.0
14631,USC00519281,2016-09-15,0.83,79.0
19225,USC00516128,2016-09-16,0.61,73.0
8840,USC00517948,2016-09-16,0.0,79.0
2388,USC00519397,2016-09-16,0.06,80.0
7350,USC00514830,2016-09-16,0.07,79.0
14632,USC00519281,2016-09-16,0.06,78.0
11874,USC00519523,2016-09-16,0.01,78.0
5115,USC00513117,2016-09-16,0.01,78.0
11875,USC00519523,2016-09-17,0.0,81.0
19226,USC00516128,2016-09-17,0.23,76.0
5116,USC00513117,2016-09-17,0.04,78.0
14633,USC00519281,2016-09-17,0.36,79.0
2389,USC00519397,2016-09-17,0.05,79.0
5117,USC00513117,2016-09-18,0.0,78.0
14634,USC00519281,2016-09-18,0.07,78.0
11876,USC00519523,2016-09-18,0.04,81.0
19227,USC00516128,2016-09-18,0.42,75.0
2390,USC00519397,2016-09-18,0.0,81.0
19228,USC00516128,2016-09-19,0.25,70.0
14635,USC00519281,2016-09-19,0.01,78.0
11877,USC00519523,2016-09-19,0.05,78.0
2391,USC00519397,2016-09-19,0.0,77.0
5118,USC00513117,2016-09-19,0.01,75.0
7351,USC00514830,2016-09-19,,79.0
8841,USC00517948,2016-09-19,,79.0
8842,USC00517948,2016-09-20,0.0,73.0
5119,USC00513117,2016-09-20,0.09,78.0
14636,USC00519281,2016-09-20,0.22,76.0
2392,USC00519397,2016-09-20,0.0,77.0
11878,USC00519523,2016-09-20,0.04,77.0
7352,USC00514830,2016-09-20,0.25,80.0
19229,USC00516128,2016-09-20,0.43,70.0
5120,USC00513117,2016-09-21,0.06,76.0
2393,USC00519397,2016-09-21,0.0,78.0
14637,USC00519281,2016-09-21,0.07,74.0
7353,USC00514830,2016-09-21,0.02,80.0
